Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,School Number,School or Citywide Complaint,pctFemale,pctMale,pctPacIslander,pctLatino,pctAmericanIndian,pctAsian,pctWhite,pctBlack,pctOther,pctEthnicTotal,pctPermResidentAlien,pctUSCitizen,pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,11233,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10469,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10472,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10466,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q1_pctLatino,,,,Q3_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10025,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10075,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10039,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11238,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10032,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10025,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10461,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10453,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10304,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,11357,WHITESTONE,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,10033,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,RESIDENTIAL BUILDING,11368,Corona,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,RESIDENTIAL BUILDING,11205,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,RESIDENTIAL BUILDING,11203,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10032,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,10455,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,10031,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11217,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11412,SAINT ALBANS,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11221,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11422,ROSEDALE,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,10452,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11233,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,11434,Jamaica,Unspecified,,,,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,,
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,10303,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,10461,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,10473,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,10453,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
P - Queens,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11418,RICHMOND HILL,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10454,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
A - Queens,Dirty Conditions,E1 Improper Disposal,Sidewalk,11385,Ridgewood,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11105,ASTORIA,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11432,JAMAICA,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11370,East Elmhurst,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11432,Jamaica,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11412,SAINT ALBANS,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11412,SAINT ALBANS,Unspecified,,,,,,,,,,,,,,
A - Manhattan,Dirty Conditions,E1 Improper Disposal,Sidewalk,10011,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q2_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10038,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10040,NEW YORK,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10024,NEW YORK,Unspecified,,Q3_pctFemale,,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11236,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11216,BROOKLYN,Unspecified,,,,,,,,,,,,,,
A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Brooklyn South 10,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11209,BROOKLYN,Unspecified,,,,,,,,,,,,,,
P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11212,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
"A - Illegal Posting Staten Island,Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,ADDRESS,Unspecified,,,,,,,,,,,,,,
BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
BCC - Queens West,Sanitation Condition,22 Weeds,Sidewalk,,,Unspecified,,,,,,,,,,,,,,
BCC - Manhattan,Missed Collection (All Materials),1RB Missed Recycling - M/G/Pl,Sidewalk,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
BCC - Brooklyn North,Derelict Bicycle,14B Derelict Bicycle,Street,11216,BROOKLYN,Unspecified,,,,,,,,,,,,,,
BCC - Queens West,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11378,MASPETH,Unspecified,,,,,,,,,,,,,,
BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11231,BROOKLYN,Unspecified,,,,,,,,,,,,,,
BCC - Queens West,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11418,RICHMOND HILL,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11377,WOODSIDE,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,Residential,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,Residential,11435,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,Residential,11412,Saint Albans,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,,10470,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,,,,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11221,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10314,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11004,GLEN OAKS,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Posted Notice Or Order Removed/Tampered With,,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,10038,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Traffic,Truck Route Violation,Street/Sidewalk,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Glassware Missing,,11374,Rego Park,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Light Condition,Lamppost Damaged,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Wire Exposed,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Cycling,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Cycling,,11370,East Elmhurst,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Lamp Dim,,11411,Cambria Heights,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11372,Jackson Heights,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q3_pctLatino,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Out,,11105,Astoria,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Ped Multiple Lamps,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Controller,,11416,Ozone Park,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Controller,,11106,Astoria,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Controller,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Controller,,10013,NEW YORK,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Traffic Signal Condition,Controller,,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Traffic Signal Condition,Controller,,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Traffic Signal Condition,Controller,,10004,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Controller,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Broken Muni Meter,Parking Card Stuck in Meter,Street,10065,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Investigations and Discipline (IAD),Plumbing Work - Unlicensed/Illegal/Improper Work In Progress,,11211,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Parks and Recreation,Illegal Tree Damage,Unauthorized Tree Removal,Street,10312,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Parks and Recreation,Overgrown Tree/Branches,Clear Street Light,Park,11364,OAKLAND GARDENS,Unspecified,,,,,,,,,,,,,,
Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,11233,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11225,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,Street,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Cave-in,Street,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Cave-in,Street,11228,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Highway Condition,Painted Line/Marking,Highway,11413,SPRINGFIELD GARDENS,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Highway Condition,Painted Line/Marking,Highway,10464,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Health and Mental Hygiene,Food Establishment,Bare Hands in Contact w/ Food,Cafeteria - College/University,10027,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Taxi and Limousine Commission,Found Property,Electronics/Phones,,11377,WOODSIDE,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10469,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10036,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
